Feature,Coefficient,Abs_Coefficient
is_weekend,-1250.4892353304494,1250.4892353304494
weather_main_Haze,762.740042399785,762.740042399785
weather_main_Thunderstorm,-490.70334893640944,490.70334893640944
weather_main_Clouds,462.9221419041758,462.9221419041758
weather_main_Snow,325.98247628912867,325.98247628912867
weather_main_Drizzle,-233.63096024463422,233.63096024463422
rain_1h,226.12498496212487,226.12498496212487
weather_main_Mist,171.8860361140656,171.8860361140656
weather_main_Fog,151.00018377070495,151.00018377070495
month,-140.8023559278766,140.8023559278766
weather_main_Rain,97.96448294635181,97.96448294635181
hour,96.29700052184424,96.29700052184424
day_of_week,69.41147177573367,69.41147177573367
temp,19.27879360409718,19.27879360409718
year,-7.778092146884835,7.778092146884835
clouds_all,-4.019712262629834,4.019712262629834
snow_1h,4.831690603168681e-13,4.831690603168681e-13
