,corr_pearson
is_daylight,0.7931127076678448
hour_cos,-0.7659647392548731
is_morning_rush,0.37852258152128737
hour,0.3598491831531188
is_evening_rush,0.3598404989819487
hour_sin,-0.23474261719325162
is_weekend,-0.21834995956452846
day_sin,0.17054687507012242
temp,0.1549743758559082
day_of_week,-0.15182093667070276
day_cos,-0.10455128464999097
rush_x_severe,0.09745115554575266
is_raining,0.028465089324138368
month_sin,0.020278711796995415
month_cos,-0.017150788884573668
month,0.017150788884573668
is_severe_weather,-0.015387885603823707
rain_1h,0.013345151210517698
time_index,0.0013543627410272105
ID,-0.0012960803600566267
clouds_all,0.001219922036207972
year,0.0007045296869253321
