feature,coefficient,abs_coef
bool__is_morning_rush,0.7984223595686746,0.7984223595686746
bool__is_daylight,0.4921139826285799,0.4921139826285799
num__hour_cos,-0.4619694220747791,0.4619694220747791
cat__weather_description_thunderstorm,0.41637473626154353,0.41637473626154353
num__hour_sin,-0.3422272921011392,0.3422272921011392
cat__weather_description_proximity thunderstorm with drizzle,-0.2844306533648707,0.2844306533648707
cat__weather_description_light shower snow,-0.2443221738295904,0.2443221738295904
cat__weather_description_thunderstorm with light rain,-0.1881658488430332,0.1881658488430332
cat__weather_description_proximity thunderstorm with rain,0.17599392087810656,0.17599392087810656
bool__is_weekend,-0.1646725038672009,0.1646725038672009
cat__weather_description_heavy intensity rain,-0.12425171726097684,0.12425171726097684
cat__weather_description_proximity shower rain,0.1175441433417785,0.1175441433417785
cat__weather_description_heavy intensity drizzle,0.10528014576112593,0.10528014576112593
cat__weather_main_Thunderstorm,0.08457175536347995,0.08457175536347995
cat__weather_description_light snow,0.08372084499937812,0.08372084499937812
bool__rush_x_severe,0.08255609213954508,0.08255609213954508
cat__weather_main_Snow,-0.0740856134037297,0.0740856134037297
cat__weather_description_heavy snow,0.06972131199340226,0.06972131199340226
num__day_cos,-0.06012529669378955,0.06012529669378955
num__clouds_all,-0.05139433950947278,0.05139433950947278
bool__is_evening_rush,0.0490999283114238,0.0490999283114238
num__temp,0.041806522098813956,0.041806522098813956
bool__is_severe_weather,-0.04139354556954413,0.04139354556954413
cat__weather_description_light intensity drizzle,-0.03747413707641031,0.03747413707641031
cat__weather_description_proximity thunderstorm,-0.03520039956825664,0.03520039956825664
cat__weather_main_Drizzle,0.03340770004709497,0.03340770004709497
cat__weather_description_light rain and snow,0.02855802583308221,0.02855802583308221
cat__weather_main_Clear,-0.027176188703988306,0.027176188703988306
cat__weather_description_Sky is Clear,-0.026571732056810838,0.026571732056810838
cat__weather_description_shower drizzle,-0.025504052083458188,0.025504052083458188
cat__weather_main_Haze,0.025094125719967955,0.025094125719967955
cat__weather_description_haze,0.025094125719960437,0.025094125719960437
cat__weather_description_sleet,-0.024432958855261453,0.024432958855261453
num__month_sin,0.020798113927970697,0.020798113927970697
cat__weather_description_light rain,-0.019867835154312223,0.019867835154312223
cat__weather_main_Fog,-0.01911759840254934,0.01911759840254934
cat__weather_description_fog,-0.019117598402548768,0.019117598402548768
cat__weather_description_overcast clouds,0.01697728069581947,0.01697728069581947
cat__weather_main_Rain,-0.013613441543688242,0.013613441543688242
cat__weather_description_moderate rain,0.012961967529809337,0.012961967529809337
num__month_cos,0.012737065479806157,0.012737065479806157
cat__weather_description_snow,0.012669336454980001,0.012669336454980001
num__day_sin,-0.011271952767905385,0.011271952767905385
cat__weather_description_scattered clouds,-0.010120124061619955,0.010120124061619955
cat__weather_description_drizzle,-0.008894256554113125,0.008894256554113125
cat__weather_description_few clouds,-0.008453149931415348,0.008453149931415348
num__time_index,-0.008350719027784814,0.008350719027784814
cat__weather_main_Clouds,-0.005846351910715808,0.005846351910715808
cat__weather_description_broken clouds,-0.004250358613443328,0.004250358613443328
cat__weather_main_Mist,-0.0032343871661706094,0.0032343871661706094
cat__weather_description_mist,-0.003234387166165926,0.003234387166165926
num__rain_1h,0.002456528281071785,0.002456528281071785
cat__weather_description_sky is clear,-0.0006044566473399097,0.0006044566473399097
num__snow_1h,0.0,0.0
bool__is_holiday,0.0,0.0
